Fecha,AAPL,MSFT,GOOGL,AMZN,TSLA
2023-06-17,131.74,291.02,78.20,71.30,162.87
2023-06-20,133.47,299.59,80.11,70.29,162.67
2023-06-21,135.74,292.28,79.00,71.49,161.04
2023-06-22,140.61,294.84,76.66,75.04,165.57
2023-06-23,140.94,288.26,77.21,75.98,167.01
2023-06-24,139.87,288.26,76.40,74.52,162.41
2023-06-27,141.10,282.32,78.14,76.39,164.53
2023-06-28,141.20,272.35,78.50,79.15,171.15
2023-06-29,150.87,269.56,79.43,77.23,178.44
2023-06-30,146.06,272.72,80.09,78.94,172.43
2023-07-01,144.47,273.20,80.93,80.68,171.36
2023-07-04,147.76,268.30,80.62,83.22,169.25
2023-07-05,145.62,262.43,81.53,85.38,170.64
2023-07-06,145.91,266.24,82.54,84.92,170.72
2023-07-07,145.31,268.66,81.34,87.16,162.91
2023-07-08,143.34,265.05,79.62,83.72,152.13
2023-07-11,141.14,269.78,80.20,84.93,155.08
2023-07-12,143.40,274.10,80.50,91.59,158.62
2023-07-13,143.06,281.65,79.50,90.30,155.66
2023-07-14,144.59,281.23,82.20,90.83,157.01
2023-07-15,146.80,278.01,79.47,92.20,161.65
2023-07-18,152.46,278.27,81.53,94.34,163.35
2023-07-19,154.51,279.68,81.11,93.25,166.17
2023-07-20,159.14,282.48,80.48,92.92,174.69
2023-07-21,160.02,276.74,81.85,94.30,171.98
2023-07-22,154.61,264.90,83.19,94.29,167.10
2023-07-25,154.44,262.08,82.41,93.17,173.13
2023-07-26,158.80,259.11,83.83,92.28,182.64
2023-07-27,159.33,260.55,81.62,90.53,180.21
2023-07-28,160.59,268.12,82.61,93.38,182.75
2023-07-29,157.04,275.41,80.64,95.65,175.16
2023-08-01,159.06,281.41,80.73,96.59,171.55
2023-08-02,158.78,277.48,83.10,97.15,171.99
2023-08-03,152.17,282.62,85.18,98.16,166.75
2023-08-04,154.73,278.29,84.00,98.37,166.00
2023-08-05,154.92,274.51,83.86,94.23,156.25
2023-08-08,155.48,277.74,83.10,92.53,152.42
2023-08-09,157.43,280.51,81.23,93.27,147.34
2023-08-10,157.98,275.96,80.63,95.45,150.21
2023-08-11,157.15,275.02,80.65,93.38,143.27
2023-08-12,157.51,269.53,78.17,94.35,148.91
2023-08-15,164.60,272.05,77.85,97.79,143.43
2023-08-16,167.80,261.18,80.99,99.57,146.34
2023-08-17,167.00,262.09,79.74,102.32,148.81
2023-08-18,167.67,265.02,77.00,101.59,154.14
2023-08-19,168.76,263.99,78.94,103.37,161.37
2023-08-22,166.99,263.69,80.80,97.54,159.37
2023-08-23,170.22,264.73,77.36,97.35,157.37
2023-08-24,176.19,268.03,77.82,100.88,156.29
2023-08-25,176.39,268.90,78.43,103.72,166.60
2023-08-26,174.71,263.25,80.73,105.09,163.24
2023-08-29,175.14,263.42,81.03,107.14,153.64
2023-08-30,171.33,274.47,79.96,111.58,147.71
2023-08-31,164.51,264.91,82.66,114.21,151.81
2023-09-01,161.98,270.19,84.26,109.90,152.04
2023-09-02,164.59,269.07,81.07,111.09,147.92
2023-09-05,163.93,261.95,82.43,109.54,151.07
2023-09-06,165.59,258.48,85.87,115.13,151.71
2023-09-07,162.83,255.31,84.40,115.46,151.86
2023-09-08,167.55,255.90,83.93,112.91,147.52
2023-09-09,167.29,257.34,84.20,115.69,155.49
2023-09-12,168.24,259.87,82.24,110.90,150.19
2023-09-13,171.47,257.60,83.30,110.84,140.91
2023-09-14,173.28,257.72,82.13,114.34,140.85
2023-09-15,173.73,258.90,80.60,115.77,145.16
2023-09-16,177.66,260.27,83.42,115.33,146.37
2023-09-19,178.28,262.43,84.33,118.70,144.06
2023-09-20,183.14,261.52,83.26,121.04,143.25
2023-09-21,186.03,263.17,83.24,123.34,136.92
2023-09-22,187.63,266.60,82.82,121.46,136.26
2023-09-23,189.25,272.08,83.35,123.41,140.93
2023-09-26,188.97,281.81,82.97,122.25,141.75
2023-09-27,186.54,282.16,83.19,121.49,138.25
2023-09-28,183.18,285.08,81.19,118.54,130.66
2023-09-29,179.77,280.29,82.60,118.24,136.37
2023-09-30,177.36,279.59,82.91,118.00,139.23
2023-10-03,183.32,286.40,84.43,122.65,133.04
2023-10-04,186.03,295.69,83.88,123.35,134.74
2023-10-05,183.91,292.80,84.16,124.84,145.34
2023-10-06,179.37,287.56,84.26,123.70,140.01
2023-10-07,179.78,280.16,85.34,125.65,144.58
2023-10-10,183.07,281.35,84.20,126.06,145.37
2023-10-11,183.45,288.72,84.75,124.35,141.08
2023-10-12,186.09,279.66,87.42,124.30,136.17
2023-10-13,185.05,277.56,89.03,127.15,129.29
2023-10-14,188.05,284.66,88.90,126.62,125.09
2023-10-17,190.50,286.66,91.47,124.46,119.91
2023-10-18,195.92,286.90,89.36,127.14,117.52
2023-10-19,189.54,282.12,87.31,126.99,130.61
2023-10-20,190.05,284.85,85.02,125.62,128.49
2023-10-21,191.80,289.70,84.60,127.65,123.70
2023-10-24,190.97,283.78,87.41,130.92,122.94
2023-10-25,188.01,276.22,87.90,130.16,130.16
2023-10-26,186.90,279.75,85.61,124.85,123.48
2023-10-27,188.48,276.90,83.60,127.49,122.53
2023-10-28,185.93,277.71,87.18,128.03,116.73
2023-10-31,181.05,269.81,86.74,126.41,118.97
2023-11-01,179.86,271.80,86.45,125.87,120.47
2023-11-02,176.25,266.06,86.71,127.26,126.63
2023-11-03,174.43,268.37,85.81,126.33,121.65
2023-11-04,172.16,268.42,84.45,119.50,122.88
2023-11-07,174.30,263.93,84.26,118.27,122.35
2023-11-08,177.51,264.09,83.29,121.85,121.38
2023-11-09,174.03,263.91,84.07,123.53,121.81
2023-11-10,171.24,261.59,85.38,122.59,125.62
2023-11-11,169.64,262.02,86.97,124.91,128.30
2023-11-14,171.31,263.72,86.92,125.23,136.59
2023-11-15,175.87,267.28,87.44,126.11,137.43
2023-11-16,176.45,263.01,87.77,124.38,134.45
2023-11-17,178.02,275.70,86.50,127.25,140.00
2023-11-18,175.13,281.26,86.34,131.30,136.81
2023-11-21,174.44,286.90,86.84,132.00,128.19
2023-11-22,172.43,278.27,84.22,139.94,129.47
2023-11-23,178.04,282.40,85.81,146.48,128.46
2023-11-24,178.40,275.26,84.67,146.23,132.99
2023-11-25,181.10,270.51,83.98,149.11,128.86
2023-11-28,185.62,263.42,82.56,152.32,126.51
2023-11-29,187.68,266.30,81.45,150.50,129.88
2023-11-30,189.66,269.64,82.18,158.58,128.31
2023-12-01,195.68,271.15,82.64,155.79,131.18
2023-12-02,196.75,271.23,84.18,151.59,128.53
2023-12-05,193.67,269.55,86.00,147.17,131.36
2023-12-06,188.47,272.17,86.49,142.11,134.46
2023-12-07,185.62,275.59,82.77,141.94,137.39
2023-12-08,196.70,270.73,80.16,137.52,132.97
2023-12-09,196.39,267.57,79.39,137.15,128.24
2023-12-12,197.04,271.25,80.54,137.09,119.61
2023-12-13,196.86,272.59,80.71,140.59,122.45
2023-12-14,198.23,266.29,80.47,140.34,126.41
2023-12-15,198.45,267.89,79.86,144.19,122.80
2023-12-16,198.36,263.59,82.82,143.94,125.89
2023-12-19,200.71,257.88,82.25,148.07,127.79
2023-12-20,201.26,253.27,81.10,147.68,139.05
2023-12-21,204.54,258.55,82.45,151.29,141.64
2023-12-22,207.12,269.40,81.50,149.33,131.77
2023-12-23,202.42,271.34,79.57,154.28,138.49
2023-12-26,205.68,275.52,79.17,147.89,140.13
2023-12-27,209.41,276.84,77.87,143.69,137.07
2023-12-28,208.89,280.85,75.72,142.50,135.38
2023-12-29,209.72,290.96,76.54,141.24,138.72
2023-12-30,210.84,293.50,78.33,137.70,136.03
2024-01-02,209.69,290.33,76.13,134.95,132.87
2024-01-03,206.94,292.15,75.95,137.01,136.47
2024-01-04,216.49,292.73,74.29,138.01,137.58
2024-01-05,223.02,287.10,71.69,135.15,134.84
2024-01-06,219.08,297.76,73.36,136.22,133.05
2024-01-09,216.17,294.62,73.54,138.06,132.47
2024-01-10,219.02,298.01,72.94,138.98,131.30
2024-01-11,216.78,293.31,74.10,138.32,131.78
2024-01-12,216.90,289.93,75.07,137.36,124.61
2024-01-13,217.83,288.45,73.14,138.74,124.94
2024-01-16,222.49,277.89,73.28,134.37,126.76
2024-01-17,223.57,278.14,73.95,132.74,128.97
2024-01-18,223.07,282.32,72.28,136.11,121.13
2024-01-19,224.48,290.36,73.90,137.39,123.61
2024-01-20,227.55,292.22,72.95,137.79,126.70
2024-01-23,227.94,283.96,72.13,141.03,126.33
2024-01-24,225.40,280.69,70.44,137.90,130.46
2024-01-25,225.35,281.96,72.45,144.31,132.48
2024-01-26,228.49,282.69,74.72,145.64,133.89
2024-01-27,226.32,283.46,76.52,146.04,133.64
2024-01-30,223.03,280.42,75.86,140.61,134.61
2024-01-31,223.23,278.17,77.82,144.60,134.32
2024-02-01,223.92,280.61,75.36,147.97,133.51
2024-02-02,222.43,286.71,77.42,145.97,134.55
2024-02-03,218.27,279.28,81.44,141.72,139.75
2024-02-06,217.26,276.39,83.01,137.42,135.92
2024-02-07,213.60,280.92,83.28,138.13,145.83
2024-02-08,207.48,293.58,83.72,139.01,147.95
2024-02-09,201.16,289.43,83.34,139.96,154.75
2024-02-10,200.79,290.56,81.40,143.37,146.23
2024-02-13,198.59,300.13,81.56,147.28,151.36
2024-02-14,199.85,302.22,83.28,146.77,163.97
2024-02-15,201.52,301.20,84.55,145.80,164.44
2024-02-16,202.12,293.59,87.97,145.61,170.93
2024-02-17,204.75,287.83,88.60,149.72,157.31
2024-02-20,202.60,286.35,89.35,146.77,154.58
2024-02-21,200.19,285.00,87.91,147.02,157.19
2024-02-22,198.65,285.00,87.57,145.93,157.99
2024-02-23,201.51,281.76,88.50,144.74,148.87
2024-02-24,198.99,280.49,89.86,143.80,151.59
2024-02-27,199.98,274.35,92.03,144.81,144.42
2024-02-28,197.67,274.25,93.20,143.97,141.46
2024-02-29,196.98,276.04,95.45,138.51,151.94
2024-03-01,196.94,274.60,93.27,135.52,156.10
2024-03-02,204.45,262.09,96.84,135.63,153.20
2024-03-05,203.27,266.09,98.30,139.02,162.39
2024-03-06,203.46,267.77,99.75,137.51,161.68
2024-03-07,208.90,268.16,98.98,134.93,167.30
2024-03-08,213.20,270.69,98.70,141.35,173.89
2024-03-09,218.63,273.94,100.63,140.88,165.83
2024-03-12,209.95,274.86,96.55,139.14,173.03
2024-03-13,210.36,270.59,91.78,140.24,178.76
2024-03-14,213.72,276.29,90.11,139.95,168.00
2024-03-15,212.51,270.92,89.83,137.14,164.15
2024-03-16,210.75,268.06,88.44,137.31,159.86
2024-03-19,212.83,263.20,90.26,141.63,152.35
2024-03-20,217.93,267.16,85.12,141.31,151.06
2024-03-21,218.17,273.44,83.36,142.86,158.26
2024-03-22,225.33,270.45,81.38,145.49,153.34
2024-03-23,227.15,269.50,82.61,139.05,158.38
2024-03-26,231.73,265.87,81.06,135.22,160.03
2024-03-27,226.69,261.68,81.83,131.37,163.81
2024-03-28,226.63,270.59,81.41,128.03,164.94
2024-03-29,226.42,266.42,82.04,129.53,166.31
2024-03-30,230.55,267.09,80.77,123.09,167.85
2024-04-02,234.73,264.77,80.61,123.35,165.83
2024-04-03,236.50,267.59,81.67,124.36,170.92
2024-04-04,236.87,271.04,79.41,121.71,172.52
2024-04-05,233.19,272.89,78.52,119.90,174.43
2024-04-06,228.32,272.23,79.82,115.76,179.68
2024-04-09,221.57,268.37,79.72,114.77,185.00
2024-04-10,217.73,268.17,76.59,115.70,184.67
2024-04-11,215.65,262.23,76.75,116.65,193.79
2024-04-12,218.94,258.04,78.93,112.86,195.97
2024-04-13,215.14,258.53,77.97,114.12,195.24
2024-04-16,218.85,263.50,79.15,117.58,205.02
2024-04-17,219.47,257.32,81.83,113.95,195.27
2024-04-18,220.58,256.88,83.06,114.83,202.16
2024-04-19,225.91,256.14,82.94,111.17,206.03
2024-04-20,223.71,255.81,81.18,113.39,208.03
2024-04-23,220.26,253.65,80.77,110.44,213.09
2024-04-24,223.90,254.17,78.33,108.45,212.41
2024-04-25,227.09,257.97,78.30,110.48,207.86
2024-04-26,230.33,245.33,83.03,108.04,207.66
2024-04-27,228.39,248.60,83.12,105.60,211.12
2024-04-30,226.19,249.44,83.41,109.37,208.93
2024-05-01,228.63,247.33,83.51,111.17,206.45
2024-05-02,230.71,248.84,86.24,114.43,211.28
2024-05-03,233.57,250.74,86.38,111.54,208.36
2024-05-04,233.77,251.00,82.98,108.09,198.59
2024-05-07,229.27,242.43,83.43,106.74,196.89
2024-05-08,231.08,236.18,86.03,105.92,197.25
2024-05-09,228.86,240.21,84.12,103.66,209.02
2024-05-10,229.47,247.37,81.22,104.96,202.91
2024-05-11,225.74,246.37,80.41,105.16,208.30
2024-05-14,222.99,244.76,79.70,104.11,219.22
2024-05-15,226.70,245.11,79.55,101.31,216.45
2024-05-16,218.82,237.61,79.63,100.73,202.38
2024-05-17,215.98,238.45,78.98,101.40,195.28
2024-05-18,218.89,243.37,80.20,102.73,192.71
2024-05-21,220.82,245.68,81.24,101.54,205.07
2024-05-22,224.77,245.08,82.31,103.43,205.76
2024-05-23,231.06,247.49,82.11,105.10,212.85
2024-05-24,232.73,241.84,80.92,107.08,213.98
2024-05-25,234.99,241.12,78.56,108.43,218.32
2024-05-28,241.29,242.28,79.16,109.59,233.53
2024-05-29,243.77,250.74,78.91,108.51,226.78
2024-05-30,241.12,246.30,76.07,105.80,223.11
2024-05-31,242.78,246.34,75.57,105.22,236.64
2024-06-01,237.66,248.78,72.27,105.47,234.55
2024-06-04,243.38,243.22,72.18,106.41,232.29
2024-06-05,242.84,242.73,70.50,104.97,241.04
2024-06-06,239.98,248.65,68.80,104.03,246.91
2024-06-07,241.97,247.31,69.91,106.07,241.96
2024-06-08,244.89,246.38,70.07,105.95,234.35
2024-06-11,236.06,246.48,72.12,106.24,239.38
2024-06-12,237.13,252.23,74.64,104.30,224.38
2024-06-13,242.30,255.72,76.00,104.33,227.72
2024-06-14,244.10,256.54,77.43,105.21,230.06
2024-06-15,239.13,259.09,76.50,103.22,233.44
2024-06-18,242.31,265.30,77.08,105.34,239.35
2024-06-19,236.53,264.76,78.44,108.10,239.73
2024-06-20,231.47,269.74,77.19,105.68,251.01
2024-06-21,233.15,266.22,75.03,106.44,246.06
2024-06-22,230.04,255.23,72.78,104.01,250.10
2024-06-25,224.94,257.21,73.27,106.34,247.16
2024-06-26,226.13,255.91,73.30,108.85,241.36
2024-06-27,226.03,259.13,75.60,110.41,243.63
2024-06-28,222.58,255.65,73.40,109.72,249.24
2024-06-29,226.37,249.48,72.77,108.96,250.93
2024-07-02,227.37,254.31,74.95,109.94,272.23
2024-07-03,230.54,253.27,73.67,108.90,276.31
2024-07-04,225.90,255.88,75.08,114.68,281.20
2024-07-05,222.54,251.35,74.05,114.13,279.89
2024-07-06,221.46,247.74,74.92,116.69,274.96
2024-07-09,217.59,244.54,75.70,117.37,291.24
2024-07-10,224.12,242.51,74.81,118.10,293.51
2024-07-11,226.49,241.48,76.44,120.07,281.77
2024-07-12,225.75,244.79,76.62,123.12,280.13
2024-07-13,232.19,247.52,74.06,126.71,274.60
2024-07-16,233.09,247.31,73.60,134.28,272.63
2024-07-17,235.34,247.68,73.90,135.22,257.40
2024-07-18,231.71,245.30,75.68,128.84,266.40
2024-07-19,234.71,241.98,77.04,129.85,255.22
2024-07-20,236.02,242.30,78.21,132.56,258.35
2024-07-23,237.08,247.02,76.76,134.20,272.73
2024-07-24,238.73,242.79,79.30,129.89,283.56
2024-07-25,239.24,242.23,80.45,131.11,276.72
2024-07-26,239.51,248.48,80.75,129.58,268.78
2024-07-27,243.29,248.55,82.25,127.87,262.49
2024-07-30,243.17,243.29,85.70,130.34,258.59
2024-07-31,247.63,251.02,82.66,127.77,276.00
2024-08-01,248.26,248.51,81.62,123.73,264.55
2024-08-02,249.71,249.20,80.97,123.89,247.67
2024-08-03,244.99,246.78,78.11,123.34,246.17
2024-08-06,242.13,249.58,76.95,125.61,227.16
2024-08-07,243.77,248.28,75.88,129.31,228.68
2024-08-08,239.71,251.37,74.23,129.26,239.98
2024-08-09,244.45,250.10,74.00,131.12,238.18
2024-08-10,242.59,249.37,73.60,130.54,246.90
2024-08-13,236.87,252.25,71.11,127.50,261.64
2024-08-14,234.07,255.08,72.08,127.82,252.24
2024-08-15,242.49,250.56,70.43,128.89,253.57
2024-08-16,238.02,246.84,68.65,130.03,261.48
2024-08-17,235.66,246.57,67.40,132.64,269.23
2024-08-20,242.54,248.06,69.07,131.87,256.51
2024-08-21,242.91,241.02,69.70,133.44,260.85
2024-08-22,244.92,238.20,71.34,135.85,253.58
2024-08-23,244.00,239.13,72.92,138.82,254.53
2024-08-24,247.45,238.80,72.31,135.16,259.70
2024-08-27,247.46,240.21,70.78,138.59,248.73
2024-08-28,248.21,241.75,69.37,135.87,240.97
2024-08-29,248.01,232.82,69.26,133.95,239.95
2024-08-30,244.17,230.59,68.99,137.24,230.68
2024-08-31,254.03,235.09,68.65,138.12,215.26
2024-09-03,255.14,229.53,67.57,142.04,208.42
2024-09-04,249.34,234.73,68.60,143.24,209.56
2024-09-05,249.52,227.46,69.02,144.12,209.39
2024-09-06,247.76,228.28,66.81,138.33,217.26
2024-09-07,245.38,229.24,68.02,139.01,211.33
2024-09-10,241.53,224.96,68.23,143.60,216.05
2024-09-11,242.38,227.79,66.40,142.88,235.09
2024-09-12,245.54,227.05,66.15,141.56,244.33
2024-09-13,246.33,229.32,64.90,144.61,254.53
2024-09-14,244.41,229.50,65.61,149.06,254.84
2024-09-17,246.60,231.61,66.09,153.28,236.15
2024-09-18,240.62,229.51,66.25,156.36,240.85
2024-09-19,243.37,225.76,65.30,155.17,248.49
2024-09-20,245.34,225.02,64.72,157.15,247.20
2024-09-21,246.49,228.52,66.15,164.05,254.94
2024-09-24,251.18,230.07,65.69,163.68,238.56
2024-09-25,248.53,226.21,66.42,160.00,237.06
2024-09-26,248.44,228.05,68.26,162.41,231.79
2024-09-27,248.74,225.19,65.15,161.71,231.17
2024-09-28,249.97,230.90,64.41,154.26,242.47
2024-10-01,249.43,229.25,65.21,155.88,238.12
2024-10-02,250.09,230.33,63.71,155.74,248.95
2024-10-03,245.22,230.81,63.32,153.23,245.80
2024-10-04,236.91,237.61,62.93,146.40,242.43
2024-10-05,236.83,232.01,63.70,140.84,235.06
2024-10-08,235.97,229.43,64.48,144.68,230.75
2024-10-09,236.81,229.56,63.45,148.78,242.76
2024-10-10,238.45,231.28,62.56,148.41,252.49
2024-10-11,232.58,230.54,60.87,152.85,267.73
2024-10-12,232.80,230.70,59.81,151.45,254.62
2024-10-15,230.19,238.97,61.12,150.21,245.98
2024-10-16,223.55,244.10,61.46,152.35,249.81
2024-10-17,222.50,239.79,60.80,151.85,254.45
2024-10-18,227.24,245.47,60.54,148.70,260.02
2024-10-19,231.94,250.52,59.43,156.13,262.95
2024-10-22,232.66,251.00,59.95,154.97,263.07
2024-10-23,234.14,252.43,58.57,156.64,264.81
2024-10-24,237.39,243.04,58.04,148.17,257.25
2024-10-25,238.61,240.30,57.33,151.69,255.45
2024-10-26,233.69,244.18,58.23,151.75,250.42
2024-10-29,233.12,250.42,56.91,148.20,250.30
2024-10-30,232.66,249.27,57.66,148.71,259.37
2024-10-31,239.48,244.65,57.12,150.64,257.09
2024-11-01,243.65,238.81,57.58,150.55,274.00
2024-11-02,242.50,244.93,58.28,148.88,276.85
2024-11-05,246.46,247.17,59.93,150.70,275.51
2024-11-06,241.37,253.10,59.46,154.50,265.72
2024-11-07,240.11,256.95,59.64,158.43,271.84
2024-11-08,242.20,256.70,60.87,157.59,253.81
2024-11-09,239.74,250.75,61.81,156.58,251.28
2024-11-12,239.49,255.30,60.94,154.65,245.32
2024-11-13,234.23,264.46,63.04,155.52,236.03
2024-11-14,240.67,270.41,63.45,156.97,237.65
2024-11-15,232.52,266.68,63.08,157.10,235.93
2024-11-16,232.13,266.03,62.82,160.57,233.14
2024-11-19,228.20,265.13,61.78,168.56,235.18
2024-11-20,228.33,258.93,62.66,163.95,222.62
2024-11-21,227.79,250.86,62.12,151.80,219.34
2024-11-22,224.53,252.56,62.18,152.43,225.95
2024-11-23,225.82,256.89,62.33,159.12,242.77
2024-11-26,224.74,254.71,62.55,161.13,235.48
2024-11-27,232.12,258.13,62.33,166.55,219.10
2024-11-28,236.15,258.00,63.41,165.53,217.44
2024-11-29,233.41,248.98,63.35,158.35,216.04
2024-11-30,236.94,254.37,61.36,155.43,210.40
2024-12-03,235.21,258.52,61.59,151.30,198.34
2024-12-04,242.42,247.20,60.38,152.57,199.26
2024-12-05,239.38,243.65,61.22,152.43,207.76
2024-12-06,237.00,239.01,61.65,155.93,222.02
